date,condition,area_bin,frequency
20250423 5PM,#2,2450,0.005485494542781202
20250423 5PM,#2,2550,0.003732398348696488
20250423 5PM,#2,2650,0.003958604309223548
20250423 5PM,#2,2750,0.002771023016456484
20250423 5PM,#2,2850,0.0016399932138211842
20250423 5PM,#2,2950,0.0014137872532941243
20250423 5PM,#2,3050,0.0009048238421082396
20250423 5PM,#2,3150,0.0008482723519764746
20250423 5PM,#2,3250,0.0007351693717129446
20250423 5PM,#2,3350,0.0007351693717129446
20250423 5PM,#2,3450,0.0003958604309223548
20250423 5PM,#3,550,0.003012237213680577
20250423 5PM,#3,650,0.005459679949796047
20250423 5PM,#3,750,0.0106055851898337
20250423 5PM,#3,850,0.014370881706934421
20250423 5PM,#3,950,0.02026984625039222
20250423 5PM,#3,1050,0.03671164104173204
20250423 5PM,#3,1150,0.06614370881706934
20250423 5PM,#3,1250,0.09507373705679323
20250423 5PM,#3,1350,0.10844053969250078
20250423 5PM,#3,1450,0.11628490743646062
20250423 5PM,#3,1550,0.11433950423595858
20250423 5PM,#3,1650,0.1001568873548792
20250423 5PM,#3,1750,0.08333856291182931
20250423 5PM,#3,1850,0.06783809224976467
20250423 5PM,#3,1950,0.0424223407593348
20250423 5PM,#3,2050,0.03420144336366489
20250423 5PM,#3,2150,0.020520866018198934
20250423 5PM,#3,2250,0.015688735487919672
20250423 5PM,#3,2350,0.01054283024788202
20250423 5PM,#3,2450,0.006652023846877942
20250423 5PM,#3,2550,0.005585189833699404
20250423 5PM,#3,2650,0.005145905240037653
20250423 5PM,#3,2750,0.003012237213680577
20250423 5PM,#3,2850,0.003012237213680577
20250423 5PM,#3,2950,0.002635707561970505
20250423 5PM,#3,3050,0.002259177910260433
20250423 5PM,#3,3150,0.0016943834326953247
20250423 5PM,#3,3250,0.0016943834326953247
20250423 5PM,#3,3350,0.0015688735487919673
20250423 5PM,#3,3450,0.0013178537809852525
20250423 5PM,#4,550,0.004178106720783096
20250423 5PM,#4,650,0.006804345230989614
20250423 5PM,#4,750,0.014205562850662528
20250423 5PM,#4,850,0.018503044049182286
20250423 5PM,#4,950,0.02703831920735347
20250423 5PM,#4,1050,0.042258565118777604
20250423 5PM,#4,1150,0.0641637817834547
20250423 5PM,#4,1250,0.08959054554136325
20250423 5PM,#4,1350,0.11012295571206876
20250423 5PM,#4,1450,0.1163901157932434
20250423 5PM,#4,1550,0.1088098364569655
20250423 5PM,#4,1650,0.09030679240778322
20250423 5PM,#4,1750,0.07753372328996061
20250423 5PM,#4,1850,0.06082129640682822
20250423 5PM,#4,1950,0.04601886116748239
20250423 5PM,#4,2050,0.029843619434164977
20250423 5PM,#4,2150,0.02363614659185866
20250423 5PM,#4,2250,0.016354303449922405
20250423 5PM,#4,2350,0.01223588396800764
20250423 5PM,#4,2450,0.008057777247224543
20250423 5PM,#4,2550,0.007281843141936254
20250423 5PM,#4,2650,0.005013728064939716
20250423 5PM,#4,2750,0.003521547093231467
20250423 5PM,#4,2850,0.003521547093231467
20250423 5PM,#4,2950,0.002566551271338188
20250423 5PM,#4,3050,0.0032827981377581473
20250423 5PM,#4,3150,0.002626238510206518
20250423 5PM,#4,3250,0.0019696788826548883
20250423 5PM,#4,3350,0.0016115554494449088
20250423 5PM,#4,3450,0.0017309299271815685
20250424 5PM,#1,550,0.005808234577731978
20250424 5PM,#1,650,0.010164410511030961
20250424 5PM,#1,750,0.015223195465829781
20250424 5PM,#1,850,0.020750386434961826
20250424 5PM,#1,950,0.028432245070026698
20250424 5PM,#1,1050,0.04178181647852358
20250424 5PM,#1,1150,0.058738114197386296
20250424 5PM,#1,1250,0.08965291114337907
20250424 5PM,#1,1350,0.10848283291957468
20250424 5PM,#1,1450,0.11977141786500539
20250424 5PM,#1,1550,0.11710150358330601
20250424 5PM,#1,1650,0.10169094571174293
20250424 5PM,#1,1750,0.08197105250831421
20250424 5PM,#1,1850,0.06553000140521804
20250424 5PM,#1,1950,0.04646587662185583
20250424 5PM,#1,2050,0.03227317438755914
20250424 5PM,#1,2150,0.02046934282636189
20250424 5PM,#1,2250,0.01381797742283011
20250424 5PM,#1,2350,0.008103424047964776
20250424 5PM,#1,2450,0.0038877699189657595
20250424 5PM,#1,2550,0.0030446390931659563
20250424 5PM,#1,2650,0.0018267834558995737
20250424 5PM,#1,2750,0.0014988992458663168
20250424 5PM,#1,2850,0.0009368120286664481
20250424 5PM,#1,2950,0.0007494496229331584
20250424 5PM,#1,3050,0.0005620872171998688
20250424 5PM,#1,3150,0.0006557684200665136
20250424 5PM,#1,3250,0.0003747248114665792
20250424 5PM,#1,3350,0.0001405218042999672
20250424 5PM,#1,3450,9.36812028666448e-05
20250424 5PM,#2,550,0.0062266500622665
20250424 5PM,#2,650,0.008518057285180573
20250424 5PM,#2,750,0.016587795765877957
20250424 5PM,#2,850,0.02067247820672478
20250424 5PM,#2,950,0.03247820672478207
20250424 5PM,#2,1050,0.04557907845579078
20250424 5PM,#2,1150,0.06684931506849315
20250424 5PM,#2,1250,0.09175591531755915
20250424 5PM,#2,1350,0.11222914072229141
20250424 5PM,#2,1450,0.11566625155666252
20250424 5PM,#2,1550,0.11033623910336239
20250424 5PM,#2,1650,0.09529265255292653
20250424 5PM,#2,1750,0.08054794520547945
20250424 5PM,#2,1850,0.06112079701120797
20250424 5PM,#2,1950,0.04328767123287671
20250424 5PM,#2,2050,0.031332503113325035
20250424 5PM,#2,2150,0.021917808219178082
20250424 5PM,#2,2250,0.0136986301369863
20250424 5PM,#2,2350,0.006774595267745953
20250424 5PM,#2,2450,0.0050311332503113326
20250424 5PM,#2,2550,0.004333748443337484
20250424 5PM,#2,2650,0.0032378580323785804
20250424 5PM,#2,2750,0.0012453300124533001
20250424 5PM,#2,2850,0.001544209215442092
20250424 5PM,#2,2950,0.0012453300124533001
20250424 5PM,#2,3050,0.0008966376089663761
20250424 5PM,#2,3150,0.00049813200498132
20250424 5PM,#2,3250,0.00039850560398505604
20250424 5PM,#2,3350,0.00049813200498132
20250424 5PM,#2,3450,0.00019925280199252802
20250424 5PM,#3,550,0.011198352426309692
20250424 5PM,#3,650,0.019693654266958426
20250424 5PM,#3,750,0.03187883468485862
20250424 5PM,#3,850,0.043935298408203545
20250424 5PM,#3,950,0.05431844510232977
20250424 5PM,#3,1050,0.06817694254944866
20250424 5PM,#3,1150,0.08190672330201228
20250424 5PM,#3,1250,0.08975844166988459
20250424 5PM,#3,1350,0.10035611618826962
20250424 5PM,#3,1450,0.09636589865705582
20250424 5PM,#3,1550,0.09057364740206805
20250424 5PM,#3,1650,0.07495602179602695
20250424 5PM,#3,1750,0.06410091388853134
20250424 5PM,#3,1850,0.052044450165186426
20250424 5PM,#3,1950,0.03471060196507487
20250424 5PM,#3,2050,0.02454198309520745
20250424 5PM,#3,2150,0.017634187154073885
20250424 5PM,#3,2250,0.013043291714935427
20250424 5PM,#3,2350,0.009567940961942764
20250424 5PM,#3,2450,0.0064787402926159525
20250424 5PM,#3,2550,0.004247650920324366
20250424 5PM,#3,2650,0.002831767280216244
20250424 5PM,#3,2750,0.002660145020809199
20250424 5PM,#3,2850,0.0016733170292186897
20250424 5PM,#3,2950,0.0011584502509975544
20250424 5PM,#3,3050,0.0008581112970352255
20250424 5PM,#3,3150,0.0005577723430728966
20250424 5PM,#3,3250,0.00042905564851761273
20250424 5PM,#3,3350,0.00021452782425880637
20250424 5PM,#3,3450,0.00012871669455528383
20250424 5PM,#4,550,0.010642737896494158
20250424 5PM,#4,650,0.017696160267111852
20250424 5PM,#4,750,0.03230383973288815
20250424 5PM,#4,850,0.0422787979966611
20250424 5PM,#4,950,0.0498330550918197
20250424 5PM,#4,1050,0.06585976627712854
20250424 5PM,#4,1150,0.07654424040066778
20250424 5PM,#4,1250,0.0941151919866444
20250424 5PM,#4,1350,0.09862270450751252
20250424 5PM,#4,1450,0.09578464106844742
20250424 5PM,#4,1550,0.0897746243739566
20250424 5PM,#4,1650,0.07800500834724541
20250424 5PM,#4,1750,0.06665275459098498
