time,condition_type,condition_value,area_bin,frequency
day2,cn_ratio,6,2350,0.014033428
day2,cn_ratio,6,2450,0.011825922
day2,cn_ratio,6,2550,0.007095553
day2,cn_ratio,6,2650,0.006307159
day2,cn_ratio,6,2750,0.003626616
day2,cn_ratio,6,2850,0.003626616
day2,cn_ratio,6,2950,0.002207506
day2,cn_ratio,6,3050,0.002365184
day2,cn_ratio,6,3150,0.00157679
day2,cn_ratio,6,3250,0.001734469
day2,cn_ratio,6,3350,0.000946074
day2,cn_ratio,6,3450,0.000788395
day3,cn_ratio,1,550,0.00755054
day3,cn_ratio,1,650,0.012827799
day3,cn_ratio,1,750,0.022732808
day3,cn_ratio,1,850,0.033206138
day3,cn_ratio,1,950,0.044166599
day3,cn_ratio,1,1050,0.062190468
day3,cn_ratio,1,1150,0.089145084
day3,cn_ratio,1,1250,0.107250142
day3,cn_ratio,1,1350,0.117317529
day3,cn_ratio,1,1450,0.109036291
day3,cn_ratio,1,1550,0.10099862
day3,cn_ratio,1,1650,0.085410408
day3,cn_ratio,1,1750,0.063327109
day3,cn_ratio,1,1850,0.047170577
day3,cn_ratio,1,1950,0.036697248
day3,cn_ratio,1,2050,0.01916051
day3,cn_ratio,1,2150,0.013720874
day3,cn_ratio,1,2250,0.008443615
day3,cn_ratio,1,2350,0.006332711
day3,cn_ratio,1,2450,0.003572298
day3,cn_ratio,1,2550,0.002679224
day3,cn_ratio,1,2650,0.001867338
day3,cn_ratio,1,2750,0.000893075
day3,cn_ratio,1,2850,0.001055452
day3,cn_ratio,1,2950,0.001299018
day3,cn_ratio,1,3050,0.000324754
day3,cn_ratio,1,3150,0.00056832
day3,cn_ratio,1,3250,0.000243566
day3,cn_ratio,1,3350,0.000405943
day3,cn_ratio,1,3450,0.000405943
day3,cn_ratio,2,550,0.004661366
day3,cn_ratio,2,650,0.009596929
day3,cn_ratio,2,750,0.024677817
day3,cn_ratio,2,850,0.048121744
day3,cn_ratio,2,950,0.06896079
day3,cn_ratio,2,1050,0.108719495
day3,cn_ratio,2,1150,0.127639155
day3,cn_ratio,2,1250,0.134357006
day3,cn_ratio,2,1350,0.122429394
day3,cn_ratio,2,1450,0.098437072
day3,cn_ratio,2,1550,0.076501234
day3,cn_ratio,2,1650,0.056073485
day3,cn_ratio,2,1750,0.038661914
day3,cn_ratio,2,1850,0.025226213
day3,cn_ratio,2,1950,0.018234165
day3,cn_ratio,2,2050,0.012476008
day3,cn_ratio,2,2150,0.007403345
day3,cn_ratio,2,2250,0.005621058
day3,cn_ratio,2,2350,0.003427475
day3,cn_ratio,2,2450,0.002056485
day3,cn_ratio,2,2550,0.002330683
day3,cn_ratio,2,2650,0.000548396
day3,cn_ratio,2,2750,0.00137099
day3,cn_ratio,2,2850,0.000411297
day3,cn_ratio,2,2950,0.000685495
day3,cn_ratio,2,3050,0.000548396
day3,cn_ratio,2,3150,0.000274198
day3,cn_ratio,2,3250,0.000274198
day3,cn_ratio,2,3350,0.000137099
