sequence,image,label,area,perimeter,major_axis_length,minor_axis_length,aspect_ratio,eccentricity,orientation_deg,centroid_x,centroid_y,nuclear_area,nuclear_fraction,nuclear_mean_R,nuclear_mean_G,nuclear_mean_B
8322,0088_masks.tif,71,7008.0,502.42640687119285,183.5741022857002,50.18820945074685,3.657713719909736,0.9619019024907064,-59.855255580706086,3989.720319634703,1619.050941780822,4124,0.5884703196347032,188.62705993652344,182.5880279541016,143.6665802001953
8323,0088_masks.tif,72,21569.0,1083.7817459305202,415.31861884702215,72.88725631045149,5.698096483122367,0.9844799294268268,21.48614319789655,4424.159905419816,1742.2336223283417,0,0.0,,,
8324,0088_masks.tif,73,19761.0,885.5979797464466,358.4655502712649,71.56938372349784,5.0086438030005365,0.9798662883471888,5.264200573352152,3520.8419614391983,1770.8774353524618,9436,0.477506199078994,190.04324340820312,185.69192504882807,133.1635284423828
8325,0088_masks.tif,74,24421.0,1154.208152801713,420.7111066048269,77.10725650239112,5.456180464568604,0.9830610509104474,-41.11096482591545,4864.0160927070965,1785.2197289218295,7610,0.3116170508988166,182.74560546875,177.9113006591797,117.4140625
8326,0088_masks.tif,75,14566.0,807.9827560572969,301.31534949217365,63.09585256298116,4.775517522192224,0.9778297696890608,-20.557064359395348,3612.1426609913497,1759.0717424138404,6251,0.4291500755183303,194.1033477783203,192.8820953369141,148.28762817382812
8327,0088_masks.tif,76,24676.0,1368.9777054234137,488.55164083220296,67.93328883756911,7.191638285029114,0.9902853090032876,44.58724716676046,2986.326349489382,1811.2255633003729,9692,0.3927703031285459,186.5708770751953,182.17901611328125,142.34967041015625
8328,0088_masks.tif,77,15452.0,994.3086578651014,368.5607844824046,56.689525932050806,6.501391190396774,0.9880999389024906,42.82198415942338,3797.94356717577,1788.82358270774,7351,0.4757312969194926,192.87022399902344,189.5933837890625,145.43899536132812
8329,0088_masks.tif,78,17032.0,1037.7228714274745,382.4334513477224,60.88792967412248,6.280940301214701,0.9872444444824918,-51.31346738179349,2655.7309769845,1803.5093353687175,6816,0.4001878816345702,186.6942443847656,187.09507751464844,147.57350158691406
8330,0088_masks.tif,79,21503.0,1053.840620433566,443.65557695227335,62.72234767518079,7.073325431787492,0.9899559408949647,-80.98780071308241,4104.075012788913,1738.943868297447,7899,0.3673440915221131,179.34637451171875,174.68667602539062,136.77642822265625
8331,0088_masks.tif,80,14986.0,773.9411254969543,307.7065992207385,64.15607614722704,4.796219122170212,0.9780228862864953,3.4475715670068072,3426.078139596957,1846.321833711464,8186,0.5462431602829307,190.2219696044922,188.8945770263672,145.5586395263672
8332,0088_masks.tif,81,19489.0,1120.669047558312,464.957373734809,60.417254699668455,7.695771283321162,0.9915216632762752,4.934613202362049,3385.471342808764,1930.4784750372005,8850,0.4541023141259172,191.9219207763672,188.64599609375,149.56112670898438
