time,area_bin,frequency,condition
20250326,750,0.016483802,0
20250326,850,0.021735739,0
20250326,950,0.024543705,0
20250326,1050,0.029431647,0
20250326,1150,0.037283553,0
20250326,1250,0.045083459,0
20250326,1350,0.06499922,0
20250326,1450,0.081795018,0
20250326,1550,0.09084291,0
20250326,1650,0.100150798,0
20250326,1750,0.096042847,0
20250326,1850,0.087670948,0
20250326,1950,0.083043003,0
20250326,2050,0.065883209,0
20250326,2150,0.050075399,0
20250326,2250,0.032343612,0
20250326,2350,0.02079975,0
20250326,2450,0.013883833,0
20250326,2550,0.0083719,0
20250326,2650,0.003899953,0
20250326,2750,0.002703968,0
20250326,2850,0.001715979,0
20250326,2950,0.000987988,0
20250326,3050,0.000519994,0
20250326,3150,0.000311996,0
20250326,3250,0.000571993,0
20250326,3350,0.000103999,0
20250326,3450,0.000103999,0
20250327,550,0.005626521,0
20250327,650,0.005322384,0
20250327,750,0.007831509,0
20250327,850,0.012773723,0
20250327,950,0.020605231,0
20250327,1050,0.032162409,0
20250327,1150,0.051018856,0
20250327,1250,0.071928224,0
20250327,1350,0.088123479,0
20250327,1450,0.100364964,0
20250327,1550,0.103938564,0
20250327,1650,0.102722019,0
20250327,1750,0.099756691,0
20250327,1850,0.088199513,0
20250327,1950,0.06774635,0
20250327,2050,0.04995438,0
20250327,2150,0.032998783,0
20250327,2250,0.022962287,0
20250327,2350,0.011937348,0
20250327,2450,0.007527372,0
20250327,2550,0.005778589,0
20250327,2650,0.003497567,0
20250327,2750,0.002281022,0
20250327,2850,0.001748783,0
20250327,2950,0.001368613,0
20250327,3050,0.000608273,0
20250327,3150,0.00038017,0
20250327,3250,0.000228102,0
20250327,3350,0.000152068,0
20250327,3450,0.000456204,0
20250328,550,0.019289234,0
20250328,650,0.018660237,0
20250328,750,0.016353916,0
20250328,850,0.016878079,0
20250328,950,0.015934584,0
20250328,1050,0.017507076,0
20250328,1150,0.024111542,0
20250328,1250,0.032498165,0
20250328,1350,0.041618618,0
20250328,1450,0.058601531,0
20250328,1550,0.071600797,0
20250328,1650,0.077995597,0
