time,condition_type,condition_value,area_bin,frequency
day6,temperature,24,1950,0.0409055046428354
day6,temperature,24,2050,0.0308915457911027
day6,temperature,24,2150,0.022941069369424
day6,temperature,24,2250,0.0126843478788614
day6,temperature,24,2350,0.0077077137828488
day6,temperature,24,2450,0.0064332099289919
day6,temperature,24,2550,0.0033986769436183
day6,temperature,24,2650,0.0015779571523942
day6,temperature,24,2750,0.0012138131941494
day6,temperature,24,2850,0.0005462159373672
day6,temperature,24,2950,0.0003034532985373
day6,temperature,24,3050,0.0003034532985373
day6,temperature,24,3150,0.0002427626388298
day6,temperature,24,3250,6.069065970747102e-05
day6,temperature,24,3350,0.0003034532985373
day6,temperature,24,3450,6.069065970747102e-05
